screen_name,text
rebianca,"Untuk masalah2 pelik, biarlah cewe2 aja yg bahas. Kami cowo2 mah gak kuat, mau nyabun aja sambil cuci tangan... https://t.co/aYPFbtxpch"
sansadhia,"Kalau transit lama dalam perjalanan, ini hal harus diperhatikan:
- ganti masker
- rajin cuci tangan, cuci muka sekalian pakai sabun
- kalau bisa mandi dan ganti baju, lebih baik lagi
- makan dan minum vitamin agar imun tidak menurun
- banyak minum air putih
#TransmateJourney https://t.co/aZN8lteTIn"
LinlinBanjar,"Angkanya masih terus naik dan mengkhawatirkan, maka hati2 dan waspada. Kematian memang dari Allah SWT tapi semua hal di@muka bumi ini  karena ada sebabnya. Maka lakukan sebab yg menyehatkan dan yg menghindarkan dari pandemi covid-19: Pakai masker, jaga jarak dan cuci tangan. https://t.co/rKvqe1v4Vt"
meowkiyowo,"@fasyatheboy Cuci tangan, cuci kaki, tidur"
Tiyudhs,"• Di rumahnya di Jogja, ternyata Shani punya 10 meng (re: kucing) loh! Tapi sayangnya, karena alergi gabisa digendong-gendong deh <U+0001F641>

• Karena kepepet, pernah shampooan pake sabun cuci tangan. Untung Shani."
sakairock,@ditamoechtarr @EnggalPMT kelakuan rejim yang mana ? cuci tangan abis korupsi bareng ?
Idrus28,@ridwankamil Kok ngga pake Masker n jaga Jarak Kang Gub @ridwankamil <U+0001F637> <U+2194><U+FE0F> semoga cuci tangan <U+0001F64C>
capricornbearr,"Malah jadi makin sakit. Tapi ya takut knp2, w minum obat deh. Dan bener pagi tadi jadi flu dan batuk, dan serak pas siang. Tapi kondisi badan w gk drop, malah semangat bersih2 rumah walau pake masker. W maskeran, jauh2 dr org rumah, mau apa2 cuci tangan pake sabun dulu."
rchlabdr,"Oh iya aku ga pernah bosen untuk ngingetin. Ini hanya salah satu dari segelintir kisah sodara2 kita yg tengah berjuang dgn covid dan mgkn ga disorot media.

Pandemi belum berakhir. Please, selalu gunakan masker, jaga jarak, cuci tangan, ga kumpul2 klo ga penting."
_____eunoia,"Uhuh gue sering bgt rambut keluar, dulu sblm covid nyante aja benerin lgsg pake tangan.. Skrg tangan mau megang bagian muka hrs cuci tangan dulu jd benerinnya ntar aja sekalian pas ke toilet, https://t.co/x03qvvDV77"
vt_bjorn,"@itsme_dellaa Ya iya dong, kan pake tangan.
Coba kalo abis cuci piring yg panas hati <U+0001F614> apa ga serem"
im_yourfantazy,@kostanalter Jangan lupa cuci tangan
DKIJakarta,"(2/2) Jalankan terus protokol kesehatan 3M. Jangan keluar rumah bila tdk mendesak. Selalu gunakan masker dgn benar dan jaga jarak bila harus keluar rumah. Sering cuci tangan dgn sabun. Ingatkan sesama warga.
#JagaJakarta #JakartaTanggapCorona #HadapiBersama #COVID19 #PSBBJakarta https://t.co/lDN3An9Zbs"
DKIJakarta,"(2/2) Jalankan terus protokol kesehatan. Jangan keluar rumah bila tdk mendesak. Selalu gunakan masker dgn benar dan jaga jarak bila harus keluar rumah. Sering cuci tangan dgn sabun. Ingatkan sesama warga.
#JagaJakarta #JakartaTanggapCorona #HadapiBersama #COVID19 #PSBBJakarta https://t.co/ssQtXc4Sha"
DKIJakarta,"(2/2) Jalankan terus protokol kesehatan. Jangan keluar rumah bila tdk mendesak. Selalu gunakan masker dgn benar dan jaga jarak bila harus keluar rumah. Sering cuci tangan dgn sabun. Ingatkan sesama warga.
#JagaJakarta #JakartaTanggapCorona #HadapiBersama #COVID19 #PSBBJakarta https://t.co/XBFAkLdt8V"
DKIJakarta,"(2/2) Jalankan terus protokol kesehatan. Jangan keluar rumah bila tdk mendesak. Selalu gunakan masker dgn benar dan jaga jarak bila harus keluar rumah. Sering cuci tangan dgn sabun. Ingatkan sesama warga.
#JagaJakarta #JakartaTanggapCorona #HadapiBersama #COVID19 #PSBBJakarta https://t.co/YcVWYzV54S"
DKIJakarta,"Selamat Hari Cuci Tangan Sedunia!

Rajin mencuci tangan juga dapat mencegah tertular virus COVID-19. Jangan lupa barengi dengan memakai masker dan menjaga jarak.

Tetap sehat di mana pun kamu berada!

#JagaJakarta #JakartaTanggapCorona #COVID19 #PSBBTransisi #cucitangan https://t.co/b4hgcvr8rS"
DKIJakarta,"(2/2) Jalankan terus protokol kesehatan 3M. Jangan keluar rumah bila tdk mendesak. Selalu gunakan masker dgn benar dan jaga jarak bila harus keluar rumah. Sering cuci tangan dgn sabun. Ingatkan sesama warga.
#JagaJakarta #JakartaTanggapCorona #HadapiBersama #COVID19 #PSBBJakarta https://t.co/Swdd5GLTmH"
DKIJakarta,"(2/2) Jalankan terus protokol kesehatan. Jangan keluar rumah bila tdk mendesak. Selalu gunakan masker dgn benar dan jaga jarak bila harus keluar rumah. Sering cuci tangan dgn sabun. Ingatkan sesama warga.
#JagaJakarta #JakartaTanggapCorona #HadapiBersama #COVID19 #PSBBJakarta https://t.co/a6cfQpHP2H"
DKIJakarta,"(2/2) Jalankan terus protokol kesehatan. Jangan keluar rumah bila tdk mendesak. Selalu gunakan masker dgn benar dan jaga jarak bila harus keluar rumah. Sering cuci tangan dgn sabun. Ingatkan sesama warga.
#JagaJakarta #JakartaTanggapCorona #HadapiBersama #COVID19 #PSBBJakarta https://t.co/CiJvx5ZorM"
DKIJakarta,"(2/2) Jalankan terus protokol kesehatan. Jangan keluar rumah bila tdk mendesak. Selalu gunakan masker dgn benar dan jaga jarak bila harus keluar rumah. Sering cuci tangan dgn sabun. Ingatkan sesama warga.
#JagaJakarta #JakartaTanggapCorona #HadapiBersama #COVID19 #PSBBJakarta https://t.co/yI2EdelqJ7"
